,Palabra,cant central,cant guaranitica,Total central,Total guaranitica,Total central guaranitica,Pvalue,fnorm central,fnorm guaranitica,maxdif
39076,silbert,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38221,louuu,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39075,síndico,0.0,7.0,0,2,2,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38777,tacuarí,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38242,mutilación,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38786,nopuedodormir,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38778,caminho,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38785,consty,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38229,otaño,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38238,libreros,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38784,reece,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38239,atendéme,0.0,7.0,0,3,3,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38454,bastiani,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38783,gentlemansessentials,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38228,ifai,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38782,psicopedagogia,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38227,rallyel,0.0,7.0,0,2,2,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38781,sabadon,0.0,7.0,0,2,2,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38240,nocheess,0.0,7.0,0,3,3,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38241,titiriteros,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38455,mabell,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38456,previasss,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38226,amicucci,0.0,7.0,0,3,3,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38225,bebéee,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38780,trotskista,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38779,futter,0.0,7.0,0,2,2,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38267,pegamosss,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38756,expte,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38341,grepo,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39052,tombolini,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38508,despelotada,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38509,vinistee,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38210,rotan,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38747,luciocasullo,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38510,maiaaa,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38511,canalización,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38512,puteandole,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38513,audacity,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38514,maaartes,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38515,arniii,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38208,fabraaa,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38516,abigeato,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38517,sonyk,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38518,alivioo,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38519,nightmares,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38520,rubgy,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38521,conversations,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38746,quintín,0.0,7.0,0,2,2,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38745,uoh,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38522,analizarán,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38507,chuña,0.0,7.0,0,3,3,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38506,qloq,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38505,chinchaje,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38504,nerix,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38748,calcando,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38489,deprimes,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38490,criminalista,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38319,polini,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38491,chauchema,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38492,religiosidad,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38320,borti,0.0,7.0,0,2,2,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38321,brujear,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38493,encaren,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38494,geeks,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38495,hechizarme,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38496,teenagers,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38497,superclasicooo,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38498,tatacua,0.0,7.0,0,3,3,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38659,prisciii,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38500,demostrara,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38501,celarle,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38502,angieee,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38503,cieguita,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38209,jimin,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38207,exaaactoo,0.0,7.0,0,3,3,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38755,tacooo,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39043,guisitooo,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38329,uncas,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38330,naniela,0.0,7.0,0,2,2,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39050,qik,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39049,jani,0.0,7.0,0,3,3,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39048,credit,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39047,comediasgüelcomdirección,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39046,delataste,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39045,débilmente,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
39044,pantos,0.0,7.0,0,2,2,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38331,privando,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38744,corbalán,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38332,bolillaaa,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38333,veámoslo,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38334,opama,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38335,euq,0.0,7.0,0,3,3,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38336,volcansito,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38337,conformadas,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38338,porahi,0.0,7.0,0,4,4,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38339,revelation,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38340,kapas,0.0,7.0,0,5,5,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38328,peinaaa,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38327,cuaaantas,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38326,puedenn,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38325,mimarle,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38523,acordeonista,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38524,baragaño,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38525,pifee,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38743,odiábamos,0.0,7.0,0,7,7,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38526,franciscohttps,0.0,7.0,0,1,1,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
38322,edilicia,0.0,7.0,0,6,6,0.0415236419374,0.0543388926549,0.225751761428,4.15451530935
