,Palabra,cant cuyo,cant guaranitica,Total cuyo,Total guaranitica,Total cuyo guaranitica,Pvalue,fnorm cuyo,fnorm guaranitica,maxdif
665,mufada,51.0,1.0,37,1,38,2.50236995842e-37,5.42414760318,0.0322502516326,168.189311047
670,boule,49.0,0.0,33,0,33,5.07483883653e-37,5.21143593247,0.0322502516326,161.59365179
696,virreina,49.0,1.0,26,1,27,6.89450712824e-36,5.21143593247,0.0322502516326,161.59365179
676,chipitas,0.0,529.0,0,321,321,9.2030447784e-37,0.106355835356,17.0603831136,160.408529128
677,aijue,0.0,528.0,0,184,184,1.07197501446e-36,0.106355835356,17.028132862,160.105299394
710,culiadoo,48.0,1.0,29,1,30,3.61984034802e-35,5.10508009711,0.0322502516326,158.295822162
681,bonarda,48.0,0.0,12,0,12,2.66662341545e-36,5.10508009711,0.0322502516326,158.295822162
688,virasoro,0.0,520.0,0,60,60,3.63276396681e-36,0.106355835356,16.7701308489,157.679461524
68,mendocinos,327.0,7.0,119,7,126,1.2463700004e-228,34.7783581616,0.225751761428,154.055755497
717,masoero,46.0,0.0,2,0,2,7.36750322082e-35,4.8923684264,0.0322502516326,151.700162905
716,cachiche,46.0,0.0,30,0,30,7.36750322082e-35,4.8923684264,0.0322502516326,151.700162905
718,dge,46.0,0.0,21,0,21,7.36750322082e-35,4.8923684264,0.0322502516326,151.700162905
343,potre,92.0,2.0,54,2,56,1.07987945782e-65,9.7847368528,0.0645005032652,151.700162905
70,moma,317.0,7.0,103,3,106,1.81285482406e-221,33.714799808,0.225751761428,149.344570314
735,zampinitas,45.0,0.0,1,0,1,3.873892984e-34,4.78601259104,0.0322502516326,148.402333277
734,jarillero,45.0,0.0,14,0,14,3.873892984e-34,4.78601259104,0.0322502516326,148.402333277
767,carrizal,45.0,1.0,36,1,37,5.24473549569e-33,4.78601259104,0.0322502516326,148.402333277
793,sopaipillas,44.0,1.0,36,1,37,2.75573432049e-32,4.67965675569,0.0322502516326,145.104503649
756,tyan,44.0,0.0,7,0,7,2.03741441102e-33,4.67965675569,0.0322502516326,145.104503649
755,sanfilippo,44.0,0.0,6,0,6,2.03741441102e-33,4.67965675569,0.0322502516326,145.104503649
786,insfrán,1.0,473.0,1,33,34,1.50102129528e-32,0.106355835356,15.2543690222,143.427664041
781,dolci,43.0,0.0,3,0,3,1.07181625919e-32,4.57330092033,0.0322502516326,141.80667402
381,parc,85.0,2.0,31,2,33,1.14739431674e-60,9.0402460053,0.0645005032652,140.157759206
