palabra,pvalorWelch
salamanca,0.00335704632095
unlpam,1.39200100717e-07
bosetti,3.82499483336e-07
nsq,3.40580240583e-11
comodorenses,0.00012057894907
músicas,1.99924565056e-34
barranqueras,4.55231431319e-05
camau,0.00087965588779
santiagueña,6.9866888682e-16
esquel,1.91197571798e-09
trelew,9.94948402882e-12
cantin,0.000135823964177
tereee,8.45757925735e-20
neuquina,2.65768168426e-06
fajitas,1.20669734564e-08
edelar,3.03462944778e-07
truncado,0.000315596923267
adosac,0.171073768776
berá,0.101126173556
ecu,6.83741192449e-11
pocito,2.6397717755e-05
mentu,0.000167056266235
saeta,5.18123242306e-10
osep,1.88966114468e-07
hernando,1.55152082267e-07
marcolini,0.00975067751613
cja,2.39463455928e-05
edese,1.308446401e-05
wacros,3.37628041205e-07
rumipal,0.000899422888397
balcozna,0.000150993750533
ebro,1.42839734873e-05
buzzi,6.19385963625e-06
atuel,6.02369816339e-07
mendocino,1.71230145391e-13
lr,4.6613640156e-10
yuto,0.125819995988
pdas,2.03644733199e-07
chicoana,0.0502672207004
ele,1.1552630666e-22
graduaciones,0.146738259813
fo,2.30488613175e-29
aluminé,0.258690492156
disfrazate,1.59546372916e-10
manso,6.86790214619e-78
cerritos,0.0276728343379
waso,1.86305941732e-12
berceo,0.0274144994953
pingo,5.51212932387e-79
soyem,0.178580388751
desamparados,0.0679681401511
bevono,2.04287487944e-06
chenque,8.8385750239e-05
malargue,0.194861550598
vgb,4.76870182126e-06
empeda,1.47271899086e-31
andalgalá,0.00253014935932
jujeñas,3.79870411886e-05
martija,7.72143274601e-05
camelot,2.96663366989e-12
carhué,0.000103687028274
anillaco,0.00141216874531
patagónico,0.00050741751629
pomona,3.17004304031e-06
musicas,2.21034247925e-18
ciudadela,1.66259141126e-05
neves,9.36244706444e-06
qlq,4.24440044746e-08
concordiense,1.72221695902e-05
achilata,1.20478817854e-08
perico,0.118985129836
tinogasta,0.000990297178244
ipra,0.0171928735092
engau,2.00398215611e-11
purmamarca,1.27248406011e-06
bolasear,7.61002914176e-07
cr,5.51348728058e-19
guamini,2.84636158178e-05
alcaldesa,0.0435828592516
queras,1.18272329882e-16
liebig,0.108167694945
conca,2.05497203209e-06
carnaza,9.07200159456e-10
noxxx,3.12399241694e-07
pachatas,1.69110205819e-11
limache,1.6429221777e-05
canchon,0.0283183377896
hostal,1.00365366956e-10
chipacitos,2.32854088586e-13
rosarina,2.79915171037e-13
martial,3.46223827748e-05
rivadavia,5.51601716585e-06
jachal,3.34682431925e-06
refsa,2.36409049035e-05
chipote,1.54682058909e-07
luro,0.121426632883
leso,1.92191007007e-11
boite,0.000116413614231
mansos,1.23465778175e-28
vdd,2.67745035341e-17
chipas,5.57357331614e-27
aprontar,2.43272709579e-10
cresto,0.092732753976
frepam,0.0321746301246
kmk,0.0586820697285
concep,6.61510748841e-11
alaaa,2.62877963608e-05
petroleros,2.8542903249e-07
conesa,0.000122086906189
ocote,1.62374362369e-20
sks,0.00197841788956
cba,1.68763946354e-70
graduación,1.37057540091e-23
nticx,3.10985376703e-13
sapag,5.34639163683e-05
malpegada,1.237326579e-10
gchu,5.51396129455e-07
peppo,0.00393856049196
despeñaderos,0.0149632652665
yutos,1.4667370788e-13
cholila,0.047807879613
nihuil,1.83674619432e-05
resen,8.80426868602e-21
tilcara,7.43552710878e-18
fns,0.0207002951559
machagai,0.000575126047786
puna,0.000506263569015
palmares,3.54133025172e-06
slice,1.23626933864e-09
culiado,9.12063069118e-85
xpp,0.0177092518259
mpf,1.09908734792e-05
chs,1.30550737115e-05
goya,2.91671556958e-07
fueguinas,4.71625642553e-08
rubinos,0.00535186687399
humahuaca,2.94676375763e-11
yenny,9.06774490668e-15
cdia,0.000242907017629
anb,0.066946401669
trico,0.00696749019653
unrn,0.000976710872261
flop,2.71550976712e-08
hartante,2.83913631413e-31
recor,0.00159835244793
santacruceños,1.01508378325e-06
culiao,8.88924777409e-47
ucse,0.00964327094309
sanju,6.51189295277e-08
argela,1.18633151439e-13
bodegas,0.0213503550306
cldooo,1.15586873454e-06
tacu,1.65351566887e-07
machao,2.68346207148e-14
beagle,2.82989387271e-05
nájera,0.00270086945201
austral,1.69216301739e-13
aupa,0.101808436057
bolsón,8.26745639779e-05
tucumanos,1.5948458903e-15
trimestrales,8.31021043885e-29
minuzzi,0.000639324887139
maimara,0.000195223680933
cornejo,0.00118835671102
chomaso,4.20895858382e-10
curuzu,0.000157883840359
firmat,0.0287571143354
tucumano,4.17342065844e-36
caldenes,0.0452078852503
gurisa,8.02556983385e-09
tenéis,3.8679409362e-10
epec,1.48320162492e-06
habéis,5.11652805292e-09
sagasta,0.0287063416669
gioja,3.04277050637e-08
mdz,1.00579240832e-07
alvearenses,0.0240837520739
santiagueños,4.04490081149e-10
chañi,0.00218592318105
mjm,8.96267849652e-12
barile,6.40570964101e-08
uner,2.00768033417e-09
malargüe,0.0131152493768
mba,1.09522531764e-05
misioneros,1.30549582985e-10
semitas,1.80739788209e-08
fisherton,0.00198205680861
magallanes,4.309762913e-05
bahia,5.15692731892e-26
eldo,0.000156340370796
edesa,0.000678911817473
niaca,9.87379532914e-12
insfrán,0.123881806864
chupapija,1.55643173635e-18
mollar,1.13749644e-07
yb,5.01487728691e-10
diadema,0.000122130519249
ushuaiaaa,7.98468858233e-08
urc,0.0933658045432
tvcoa,1.12648179162e-05
depro,0.072203616038
potre,2.84382866691e-08
tarao,3.4094011392e-17
bolaso,3.31414804067e-13
huergo,3.02793308507e-09
gaunas,0.00434131645962
añelo,0.00208719655732
egreso,1.06803038972e-54
acha,3.83445001743e-09
indalo,0.00570178550618
tejadito,2.21763191264e-08
sanjo,1.18485279631e-11
caipi,1.32072348996e-20
mendocinos,5.95732237814e-14
yala,1.98249322879e-06
juntadera,5.21822934457e-12
asada,3.14841688336e-27
aconquija,3.72544739474e-06
guaymallén,1.40794039321e-05
chajari,0.000715069769605
uncuyo,5.65476575631e-08
pirquitas,0.000386748512344
nio,1.31627469949e-09
gurisas,1.27590900034e-08
limay,8.72693592622e-07
pururu,1.73307272431e-10
podéis,5.58343519891e-07
madryn,1.59835674046e-21
besazo,0.0840259514288
larioja,9.68835237595e-05
dposs,0.000485353094201
soem,3.88369412722e-06
lemas,4.8938183889e-08
lucania,0.0105104409231
epet,1.02528983052e-11
lules,1.66260051282e-09
angaaa,1.1891477675e-08
breñense,0.00956241265456
carmensa,0.000672091223688
salvao,1.51172308756e-06
zatti,2.46215228343e-07
camba,0.00159216624381
pué,7.05609508697e-07
chabás,0.00955644310133
angau,1.43166508475e-08
sina,5.69324721419e-05
oyo,4.995992175e-15
iaaa,1.72524688795e-08
huincul,0.0170781941719
trenque,0.00337731629332
cantín,0.000447216751583
chivilvoy,0.00580373483798
betos,3.85963576899e-15
teress,2.45293768509e-11
chacras,0.0232763580387
patagonico,1.64484741286e-07
sapem,1.52159543026e-06
mendocina,5.20697228445e-18
chaltén,3.51773783647e-05
gargantini,0.0361011169611
moquehua,0.00940536648363
almafuerte,3.75124951597e-14
valcheta,0.000238025358742
misionera,2.01299781279e-11
copi,2.68643790709e-16
rojinegro,2.5063214283e-05
deca,2.14426660408e-05
chaque,1.79328736586e-09
jacobacci,0.125496744596
calingasta,0.196988429268
ncq,6.62457344583e-08
vecchi,4.55677804907e-06
leproso,5.73937120622e-10
santacruceño,0.0136400833562
gradua,1.634459896e-08
bretón,0.000523765080274
nonogasta,0.000180532386058
spse,1.42809990404e-05
changos,1.46458132882e-47
comahue,3.20734463422e-06
posadeño,0.0318329730684
entrerriano,9.38223351329e-08
mdm,2.29458227954e-06
culia,5.38679040886e-16
tunuyan,0.00232639398573
tonso,0.00062059964062
chateame,5.08131364416e-17
cameros,0.0230891305986
reartes,0.110945979879
gorriti,0.00017377954768
pechi,9.21792926983e-08
anfi,1.10807693226e-09
ezcaray,0.0328977391232
uñac,1.22482436892e-06
chilote,2.61002128973e-09
ersa,5.74040861912e-05
lechman,0.00211952373833
bolacero,2.55300506307e-12
boxing,0.0205362223509
catamarcaaa,6.43306348415e-05
gallegosss,0.00281877066957
bobeta,1.13563924853e-09
cuyaya,0.00120118040312
viedmense,3.10200929912e-06
urtubey,9.12349842567e-10
petrolero,1.56037735453e-12
atina,0.0361301290587
brizuela,4.34529410263e-05
quijano,0.000114687727996
gyej,0.0172198978576
gurisada,3.55754464558e-09
cincuentenario,0.000449774645307
yedlin,0.00271763608199
trenel,0.000158105797268
viedmaaa,1.22416646287e-08
qlia,4.79620631773e-16
coloso,3.9217647557e-06
aike,0.00599466647779
nms,0.000999709106298
othacehe,0.0440861749106
huarpe,6.77033272833e-05
kimika,6.3531762398e-07
termas,5.42992091076e-08
sylvina,0.000372734957613
torroba,0.016056069953
comodorooo,0.0151713727169
cldoo,0.0015599219435
unca,2.42424736883e-07
psp,9.92205836977e-06
aristobulo,0.00337271849393
flasha,4.86363529631e-74
upcn,0.179250888647
placi,6.81251213394e-06
ataliva,0.00151433916937
pinchos,0.000351074041436
lawn,0.0232939660761
ciroc,1.09578402132e-05
patagonia,6.68307969681e-23
herradura,5.10061143087e-07
malpega,2.03244113627e-11
azara,0.00296468551812
rawson,1.00419414694e-07
teree,2.27880898163e-07
pollerear,2.09257720314e-20
riglos,0.00106572402619
turnito,2.82519811676e-10
ushuaiense,0.0500038898916
canaya,0.00133964418506
chivilcoyano,0.00170747110719
lap,1.05302233641e-12
albardón,0.000109377145433
