 ,cantPalabra,cantUsuariosTotal,regionTest,provinciaSinEsaPalabra,Palabra Candidata,rankPalabras,rankPalabras_Personas,rankPersonas,FnormMax,FnormMin,provinciaFnormMax,provinciaFnormMin,entropy_palabras,entropy_personas,esLugar,fnormArgentina,information_value_palabras,information_value_personas,information_value_personas_palabras,maxDif,normCantPalabras,normCantPersonas,shuffled_entropy_palabras,shuffled_entropy_personas,,
mitai,389,147,['formosa'],17,1,129,77,63,51.0830298278,0.120089928142,formosa,sanluis,0.271029712477,0.433802960186,ok,2.06380261159e-06,24.3695640261,22.5796663907,0.539567785261,425.373140098,0.185673852664,0.390924657329,3.10350558357,3.05823892304,,
poec,243,123,['neuquen'],18,"0,5",231,114,64,25.4947957917,0.0992464022187,neuquen,cordoba,0.258824584865,0.188479512443,ok,1.2892134566e-06,22.4258796257,22.5512008806,0.436510442898,256.883828751,0.146846035444,0.369140115358,3.08865552604,3.0341242353,,
inkier,205,73,['entrerios'],21,0,255,169,65,20.3952536757,1.35404602493,entrerios,santafe,0.222921753499,0.125574980449,ok,1.08760806009e-06,22.0220535831,22.3864753082,0.33904571989,15.0624523098,0.132813142825,0.305377697062,3.09057077371,3.04067795853,,
yarca,213,130,['sanjuan'],19,1,208,112,66,24.8275440593,0.112837168744,sanjuan,santafe,0.136031558667,0.169397414786,ok,1.13005130146e-06,22.8809315353,22.3633196678,0.437169620781,220.029838888,0.135972244194,0.375904706849,3.09424623754,3.06069143433,,
iskra,257,102,['mendoza'],19,0,145,113,67,26.9080263452,0.0992464022187,mendoza,cordoba,0.0964152482836,0.206216859649,ok,1.363489129e-06,23.9132108576,22.3149163284,0.436684087855,271.123443708,0.151468444629,0.346260125671,3.0834665034,2.99362166377,,
chosma,230,47,['neuquen'],21,0,168,210,68,25.162254977,0.319067506069,neuquen,mendoza,0.0695597835567,0.102966660465,lugar,1.22024318937e-06,23.4957368466,22.3076536012,0.304849250291,78.8618536778,0.14230883024,0.251565147725,3.0643678445,2.94633953538,,
sanagasta,306,148,['larioja'],17,0,152,88,69,43.508650008,0.111428409698,larioja,buenosaires,0.213846157501,0.339141378663,lugar,1.62345398239e-06,23.8088549408,22.2119586021,0.503985786013,390.462810389,0.165869180953,0.391753234278,3.09718594902,3.0290911576,,
rosmi,189,70,['sanluis'],20,0,242,186,70,22.2166367062,0.212711670713,sanluis,mendoza,0.117205129548,0.149544899878,ok,1.00272157736e-06,22.2165952045,22.0396415169,0.324192074096,104.444841375,0.126107205571,0.30024905792,3.05503678823,3.06397692685,,
udpm,434,23,['misiones'],22,0,66,286,71,55.7110429942,55.7110429942,misiones,misiones,0.0,0.0,ok,2.3025458443e-06,27.2574722381,21.9915603379,0.249688249442,1.0,0.194707078404,0.164224047313,3.11103268303,2.51000761789,,
pesatti,494,21,['rionegro'],21,0,60,308,72,49.340306096,0.110846938225,rionegro,neuquen,0.0145779811494,0.191444081958,ok,2.62087015457e-06,27.7100708332,21.9860868581,0.23926293956,445.12105509,0.205392861496,0.153105964935,3.11124021193,2.64843833455,,
